year,keyword,score
2020,support,3.2659863237109046
2020,predictive,3.2659863237109046
2020,making,3.2659863237109046
2020,decision,3.2659863237109046
2020,clinical,3.2659863237109046
2020,analytics,3.2659863237109046
2020,treatment,3.023715784073818
2020,outcomes,3.023715784073818
2020,machine,3.023715784073818
2020,learning,3.023715784073818
2020,improves,3.023715784073818
2020,diagnosis,3.023715784073818
2020,and,3.023715784073818
2021,stratification,3.023715784073818
2021,risk,3.023715784073818
2021,records,3.023715784073818
2021,machine,3.023715784073818
2021,health,3.023715784073818
2021,electronic,3.023715784073818
2021,and,3.023715784073818
2021,shown,2.6666666666666674
2021,models,2.6666666666666674
2021,medical,2.6666666666666674
2021,image,2.6666666666666674
2021,high,2.6666666666666674
2021,have,2.6666666666666674
2021,deep,2.6666666666666674
2021,analysis,2.6666666666666674
2022,trust,3.2659863237109046
2022,perception,3.2659863237109046
2022,patient,3.2659863237109046
2022,medicine,3.2659863237109046
2022,and,3.2659863237109046
2022,algorithms,3.2659863237109046
2022,processing,2.6666666666666674
2022,notes,2.6666666666666674
2022,natural,2.6666666666666674
2022,language,2.6666666666666674
2022,information,2.6666666666666674
2022,from,2.6666666666666674
2022,extraction,2.6666666666666674
2022,enables,2.6666666666666674
2022,clinical,2.6666666666666674
2023,tools,3.023715784073818
2023,to,3.023715784073818
2023,of,3.023715784073818
2023,intelligence,3.023715784073818
2023,clinical,3.023715784073818
2023,barriers,3.023715784073818
2023,artificial,3.023715784073818
2023,patients,2.8284271247461907
2023,literacy,2.8284271247461907
2023,is,2.8284271247461907
2023,for,2.8284271247461907
2023,essential,2.8284271247461907
2023,clinicians,2.8284271247461907
2023,and,2.8284271247461907
2023,among,2.8284271247461907
2024,intelligence,3.5777087639996634
2024,for,3.5777087639996634
2024,ethical,3.5777087639996634
2024,considerations,3.5777087639996634
2024,artificial,3.5777087639996634
2024,systematic,3.023715784073818
2024,review,3.023715784073818
2024,radiology,3.023715784073818
2024,pathology,3.023715784073818
2024,of,3.023715784073818
2024,applications,3.023715784073818
2024,and,3.023715784073818
